metal,production_route,year,region,application,energy_mix,transport_mode,transport_distance_km,gwp_kg_co2_per_kg,energy_mj_per_kg,global_recycling_rate_pct,recycled_content_pct,water_use_l_per_kg,so2_kg_per_kg,eol_recovery_pct,typical_lifespan_years,reuse_potential_score,unit_price_usd_per_kg,circularity_index,material_efficiency_score,end_of_life_scenario,carbon_intensity_category,transport_gwp_kg_co2_per_kg,route_type,life_cycle_stage,upstream_gwp_kg_co2,downstream_gwp_kg_co2,pathway_type,circular_flow_type,emission_reduction_vs_primary_pct,benchmark_gwp_for_metal,process_temperature_celsius,batch_size_tonnes,facility_age_years,waste_generated_kg_per_kg,co2_capture_used,acidification_potential,eutrophication_potential,human_toxicity_score,abiotic_depletion_score,data_completeness_score,recommended_action
Rare Earths,Secondary - Magnet Recycling,2024,Indonesia,Wind Turbines,Mixed Grid (China),Sea Freight,2947.8,9.2492,65.733,0.57,1.11,1277.1,0.0105,9.61,11.8,3,9.82,5.55,0.677,Open Loop Recycling,Medium,0.73735,Secondary,End-of-Life,5.7377,3.5115,Hybrid,Open Loop,69.17,30.0,797,169.9,25,8.0997,No,0.01032,0.03674,0.104,0.0022,0.77,Reduce material losses in processing
Nickel,Secondary - Recycled,2024,Russia,Electroplating,Renewable Grid,Sea Freight,4456.8,1.176,25.974,65.71,38.62,114.16,0.0047,66.22,25.5,2,13.7,52.09,0.639,Landfill,Low,0.92503,Secondary,Processing,0.7108,0.4652,Hybrid,Linear,90.95,13.0,886,364.1,22,1.1345,No,0.00591,0.02135,2.0867,0.0808,0.85,Implement end-of-life collection and recycling programme
Gold,Open Pit Mining,2021,Indonesia,Medical Devices,Nuclear Grid,Air Freight,4346.5,3221.0422,266625.375,29.63,8.07,309121.44,1.217,25.72,100.5,5,57453.37,23.45,0.561,Landfill,Very High,0.49384,Primary,Processing,2413.4475,807.5947,Conventional,Linear,79.87,16000,675,459.0,33,8.2346,Yes,1.45706,0.02098,1.8016,0.04574,0.93,Increase recycled content in feedstock
Platinum,Secondary - Industrial Recycling,2012,Middle East,Catalysts (Auto),Mixed Grid (China),Road,458.0,1636.2881,24906.469,70.3,21.36,6404.83,0.4027,66.12,45.7,5,33042.54,52.46,0.812,Reuse,Very High,0.09655,Secondary,Manufacturing,1058.0378,578.2503,Circular,Closed Loop,87.12,12700,706,316.5,23,1.8623,Partial,0.50129,0.02586,0.8739,0.04272,0.86,Maintain current circular practices; explore renewable energy
Titanium,Kroll Process (Rutile),2016,Philippines,Medical Implants,Mixed Grid (EU),Air Freight,1116.1,16.7434,396.72,25.7,3.07,736.75,0.0429,31.63,20.0,2,17.26,20.6,0.647,Landfill,High,0.12686,Primary,Extraction,11.7702,4.9732,Conventional,Linear,52.16,35,1141,182.0,22,4.0852,No,0.05144,0.02423,2.4965,0.13844,0.69,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (Kazakhstan),2023,Southeast Asia,Stainless Steel,Coal Grid,Pipeline,339.6,15.9259,133.501,37.74,9.21,197.5,0.0152,33.28,20.9,2,12.05,26.54,0.783,Open Loop Recycling,High,0.04697,Primary,Manufacturing,9.8309,6.095,Conventional,Open Loop,-27.41,12.5,922,373.2,8,1.3632,No,0.0159,0.0061,1.6238,0.02915,0.99,Increase recycled content in feedstock
Indium,Primary - Zinc Byproduct,2021,Russia,Solar Cells (CIGS),Mixed Grid (Global Avg),Sea Freight,6138.5,188.3668,2173.387,31.83,8.4,1553.13,0.3421,25.4,14.9,2,199.31,21.94,0.905,Remanufacturing,Very High,0.81451,Primary,End-of-Life,138.2996,50.0672,Hybrid,Closed Loop,-12.79,167,1348,369.2,29,5.192,No,0.30887,0.0368,1.5102,0.12852,0.6,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining (Low Grade),2013,South Africa,Automotive,Coal Grid,Pipeline,229.7,16.9187,191.464,77.48,7.19,1354.78,0.0777,69.01,16.7,3,2.65,51.51,0.602,Closed Loop Recycling,High,0.05401,Primary,Use,11.3656,5.5531,Hybrid,Closed Loop,-47.12,11.5,841,21.5,5,6.0998,No,0.08858,0.02346,0.5204,0.00167,0.8,Switch to renewable energy grid
Gallium,Secondary - Semiconductor Recycling,2019,Russia,5G Semiconductors,Mixed Grid (India),Rail,1677.7,44.0485,1123.004,20.14,11.1,393.02,0.1146,13.75,9.4,3,244.98,15.64,0.893,Reuse,High,0.24559,Secondary,Manufacturing,26.2115,17.837,Circular,Closed Loop,91.69,530,395,33.6,2,5.7836,No,0.13294,0.04487,2.0145,0.06925,0.59,Maintain current circular practices; explore renewable energy
Indium,Secondary - ITO Recycling,2023,Southeast Asia,Semiconductors,Nuclear Grid,Pipeline,981.5,6.3648,315.313,38.02,20.38,218.52,0.0568,41.34,8.1,2,195.15,31.28,0.574,Closed Loop Recycling,Medium,0.10833,Secondary,Processing,3.6001,2.7647,Circular,Closed Loop,96.19,167,782,490.6,14,8.0531,No,0.06127,0.03995,1.1038,0.03059,0.55,Reduce material losses in processing
Titanium,Kroll Process (Ilmenite),2013,Global Average,Chemical Processing,Mixed Grid (Global Avg),Combined (Road+Sea),3479.3,28.1377,361.629,29.09,1.74,549.86,0.0671,23.88,36.5,2,17.55,19.19,0.949,Open Loop Recycling,High,0.3183,Primary,Extraction,16.8071,11.3306,Conventional,Open Loop,19.61,35,1187,148.9,14,7.0183,No,0.07211,0.04418,0.9128,0.12387,0.84,Increase recycled content in feedstock
Rare Earths,Primary - Bastnasite (China),2018,China,Wind Turbines,Mixed Grid (India),Combined (Road+Sea),4856.7,31.9595,421.442,2.0,8.19,6609.51,0.1207,15.92,13.9,1,21.62,7.86,0.958,Closed Loop Recycling,High,0.79251,Primary,Processing,19.5382,12.4213,Hybrid,Closed Loop,-6.53,30.0,1600,73.4,3,0.9974,Yes,0.13957,0.01755,2.1315,0.0289,0.83,Increase recycled content in feedstock
Tin,Secondary - Solder Recycling,2024,India,Tinplate,Hydro-dominated Grid,Sea Freight,4247.1,1.1577,25.065,73.82,31.97,134.48,0.0084,59.46,12.6,4,25.82,53.07,0.553,Landfill,Low,0.51727,Secondary,End-of-Life,0.8462,0.3115,Hybrid,Linear,92.76,16.0,432,270.9,4,1.8727,No,0.00971,0.01774,2.0324,0.08972,0.66,Implement end-of-life collection and recycling programme
Steel,EAF - Green Electricity,2018,Canada,Packaging,Mixed Grid (Global Avg),Pipeline,823.7,2.0844,22.911,85.9,4.57,63.98,0.0071,83.27,33.3,5,1.09,59.71,0.899,Closed Loop Recycling,Medium,0.1845,Primary,Extraction,1.3661,0.7183,Hybrid,Closed Loop,-9.71,1.9,1003,105.9,5,2.5141,Partial,0.00755,0.01975,0.7543,0.02349,0.67,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (Kazakhstan),2015,Europe,Pigments,Hydro-dominated Grid,Pipeline,768.1,3.7315,99.744,27.26,9.98,209.49,0.0208,26.13,24.7,4,10.66,22.38,0.806,Incineration,Medium,0.0802,Primary,Manufacturing,2.6934,1.0381,Conventional,Linear,70.15,12.5,583,306.4,38,3.1434,Partial,0.01742,0.03995,1.5293,0.10455,0.87,Increase recycled content in feedstock
Silver,Primary Mining (Lead-Zinc Byproduct),2022,DRC,Jewellery,Mixed Grid (China),Rail,1694.2,129.1943,1207.89,70.71,2.03,2466.66,0.3913,72.8,30.0,4,804.28,49.99,0.715,Open Loop Recycling,Very High,0.27258,Primary,Processing,82.8759,46.3184,Conventional,Open Loop,-21.88,106,818,93.7,33,2.9074,Partial,0.42097,0.03731,1.9954,0.03476,0.97,Increase recycled content in feedstock
Nickel,Primary - Laterite (HPAL),2016,DRC,Stainless Steel,Hydro-dominated Grid,Rail,770.5,3.9054,150.598,60.49,3.57,544.59,0.0365,58.67,24.3,4,12.84,42.49,0.577,Remanufacturing,Medium,0.12636,Primary,Use,2.6212,1.2842,Hybrid,Closed Loop,69.96,13.0,1028,142.4,9,6.2839,Partial,0.03054,0.00365,2.4808,0.13239,0.67,Increase recycled content in feedstock
Lead,Secondary - Battery Recycling,2024,Peru,Ammunition,Hydro-dominated Grid,Pipeline,703.8,0.2929,11.426,95.82,65.94,47.87,0.0039,96.3,11.2,5,1.95,79.36,0.93,Incineration,Low,0.11821,Secondary,Extraction,0.1885,0.1044,Hybrid,Linear,82.77,1.7,771,462.3,11,0.564,No,0.0035,0.00755,2.2109,0.12045,0.58,Transition to closed-loop recycling pathway
Tin,Primary - Alluvial Mining,2023,India,Chemicals,Coal Grid,Pipeline,185.1,13.168,208.205,62.21,1.15,489.55,0.039,68.99,13.2,3,37.72,44.95,0.891,Open Loop Recycling,High,0.04785,Primary,End-of-Life,9.3494,3.8186,Conventional,Open Loop,17.7,16.0,953,231.4,38,3.4786,No,0.03902,0.02953,2.1975,0.01618,0.81,Increase recycled content in feedstock
Indium,Secondary - Solar Panel Recycling,2019,China,Flat Panel Displays (ITO),Coal Grid,Road,302.8,20.08,397.954,34.46,23.71,140.16,0.0246,28.29,10.2,3,156.8,27.54,0.921,Open Loop Recycling,High,0.08655,Secondary,End-of-Life,14.3596,5.7204,Hybrid,Open Loop,87.98,167,834,434.4,23,6.0482,No,0.02883,0.00361,1.9823,0.06422,0.92,Maintain current circular practices; explore renewable energy
Rare Earths,Primary - Monazite,2015,DRC,Phosphors,Mixed Grid (EU),Air Freight,1969.1,19.788,520.865,2.01,1.55,8730.17,0.0483,20.6,13.2,3,87.33,9.44,0.772,Incineration,High,0.40081,Primary,Extraction,11.477,8.311,Conventional,Linear,34.04,30.0,458,154.1,36,4.9317,No,0.05231,0.04757,1.6995,0.00702,0.9,Increase recycled content in feedstock
Titanium,Kroll Process (Rutile),2020,South Africa,Marine,Mixed Grid (Global Avg),Air Freight,1580.0,42.7183,283.678,29.11,6.44,772.5,0.0231,19.76,36.8,4,16.74,20.4,0.871,Landfill,High,0.41571,Primary,Extraction,30.5828,12.1355,Conventional,Linear,-22.05,35,1368,437.6,28,1.9068,No,0.0207,0.02051,1.0987,0.08942,0.56,Increase recycled content in feedstock
Cobalt,Secondary - Battery Recycling,2014,Central Asia,Superalloys,Mixed Grid (Global Avg),Combined (Road+Sea),5268.7,3.0866,24.652,61.49,26.22,109.04,0.0063,55.86,18.6,4,38.17,46.52,0.914,Remanufacturing,Medium,0.82971,Secondary,Extraction,2.0021,1.0845,Circular,Closed Loop,63.69,8.5,433,259.2,18,1.0904,No,0.00749,0.01175,2.0034,0.09236,0.75,Maintain current circular practices; explore renewable energy
Lead,Primary - Blast Furnace,2017,Chile,Construction,Natural Gas Grid,Combined (Road+Sea),5076.3,2.4151,20.595,98.92,2.71,101.52,0.0042,94.89,15.7,5,2.25,67.38,0.748,Landfill,Medium,1.08308,Primary,End-of-Life,1.5187,0.8964,Conventional,Linear,-42.06,1.7,795,92.7,39,3.1154,Yes,0.00425,0.01304,0.4294,0.08971,0.95,Optimise production process efficiency
Lead,Secondary - Battery Recycling,2012,China,Construction,Mixed Grid (China),Road,114.0,0.4569,10.098,95.73,67.1,33.4,0.0021,92.22,10.7,4,2.29,77.59,0.899,Incineration,Low,0.01818,Secondary,End-of-Life,0.3278,0.1291,Hybrid,Linear,73.12,1.7,669,324.4,33,0.8767,Partial,0.00192,0.04088,0.9799,0.0455,0.91,Transition to closed-loop recycling pathway
Silver,Secondary - Electronics Recycling,2012,Kazakhstan,Electronics,Mixed Grid (China),Road,202.5,19.7445,177.914,67.26,37.4,593.06,0.0907,60.62,34.3,5,894.75,52.96,0.791,Remanufacturing,High,0.0445,Secondary,End-of-Life,12.5735,7.171,Circular,Closed Loop,81.37,106,390,357.3,18,3.9084,No,0.0837,0.03348,0.2863,0.05644,0.86,Maintain current circular practices; explore renewable energy
Aluminium,Secondary - Recycled Scrap,2021,China,Construction,Coal Grid,Combined (Road+Sea),2717.9,0.7009,9.273,71.65,29.43,168.95,0.0057,80.47,33.8,3,2.7,57.36,0.841,Urban Mining,Low,0.21783,Secondary,Manufacturing,0.3933,0.3076,Hybrid,Open Loop,93.91,11.5,489,17.2,39,5.9605,Partial,0.00517,0.035,2.0357,0.07095,0.65,Maintain current circular practices; explore renewable energy
Gold,Secondary - Jewellery Recycling,2024,Russia,Electronics,Coal Grid,Road,90.9,56.1161,669.242,28.63,16.62,940.28,0.0038,22.27,77.1,5,66357.0,23.78,0.835,Urban Mining,High,0.02376,Secondary,End-of-Life,31.1035,25.0126,Hybrid,Open Loop,99.65,16000,811,400.5,19,3.1885,No,0.00443,0.00735,0.1996,0.04654,0.72,Maintain current circular practices; explore renewable energy
Nickel,Primary - Laterite (Smelting),2014,Global Average,Stainless Steel,Natural Gas Grid,Air Freight,2756.1,8.6019,160.546,66.6,3.27,428.9,0.0279,58.09,15.9,4,15.58,44.39,0.949,Reuse,Medium,0.7016,Primary,Processing,5.7258,2.8761,Hybrid,Closed Loop,33.83,13.0,1358,327.4,34,7.6809,No,0.03338,0.03338,0.4745,0.02188,0.86,Increase recycled content in feedstock
Magnesium,Electrolytic (Brine),2017,India,Aerospace,Mixed Grid (China),Pipeline,495.3,14.2881,165.449,44.68,9.75,389.05,0.045,49.91,15.6,4,2.7,35.56,0.912,Landfill,High,0.08808,Primary,Use,9.566,4.7221,Conventional,Linear,-2.06,14.0,888,227.5,45,8.1075,Yes,0.04754,0.02982,0.7014,0.01708,0.99,Increase recycled content in feedstock
Indium,Secondary - ITO Recycling,2011,Peru,Solar Cells (CIGS),Mixed Grid (China),Rail,1083.3,34.8541,570.607,36.78,21.99,230.8,0.0337,36.75,8.0,3,205.59,30.55,0.819,Reuse,High,0.23096,Secondary,Manufacturing,23.2427,11.6114,Circular,Closed Loop,79.13,167,556,10.6,15,6.0,No,0.0436,0.00836,2.2246,0.07128,0.88,Maintain current circular practices; explore renewable energy
Gold,Open Pit Mining,2016,Australia,Jewellery,Hydro-dominated Grid,Pipeline,360.5,4720.5308,213899.232,30.92,2.09,315982.86,1.7159,26.95,142.3,5,55758.5,23.07,0.878,Landfill,Very High,0.06522,Primary,Processing,3283.9839,1436.5469,Conventional,Linear,70.5,16000,1232,119.5,41,6.6935,Yes,1.99589,0.00663,0.9743,0.11624,0.61,Increase recycled content in feedstock
Indium,Primary - Zinc Byproduct,2022,Europe,Semiconductors,Hydro-dominated Grid,Sea Freight,7778.0,38.9364,2923.964,30.85,8.69,1206.76,0.1555,41.87,10.3,2,202.15,26.6,0.976,Open Loop Recycling,High,1.73522,Primary,Use,21.6156,17.3208,Conventional,Open Loop,76.68,167,1368,230.5,11,1.9076,No,0.1265,0.04792,0.6901,0.0186,0.87,Increase recycled content in feedstock
Steel,Electric Arc Furnace (EAF),2018,DRC,Machinery,Mixed Grid (EU),Pipeline,798.8,1.7424,17.099,85.8,3.83,28.86,0.007,86.41,69.1,5,0.98,60.47,0.926,Remanufacturing,Low,0.08837,Primary,Processing,1.2558,0.4866,Hybrid,Closed Loop,8.29,1.9,892,448.2,38,5.5537,Yes,0.00577,0.01276,2.3665,0.14224,0.67,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (Kazakhstan),2015,Central Asia,Pigments,Renewable Grid,Rail,927.1,1.4184,118.021,36.9,4.59,221.97,0.0326,29.67,16.9,2,12.84,24.23,0.87,Urban Mining,Low,0.19382,Primary,End-of-Life,1.0475,0.3709,Conventional,Open Loop,88.65,12.5,489,315.2,40,8.1822,No,0.03431,0.03041,2.0483,0.13212,0.56,Increase recycled content in feedstock
Steel,Electric Arc Furnace (EAF),2020,Chile,Machinery,Natural Gas Grid,Road,264.6,1.7306,17.058,90.63,3.0,23.99,0.0054,89.43,30.6,5,1.15,62.9,0.673,Open Loop Recycling,Low,0.07572,Primary,Manufacturing,1.0922,0.6384,Conventional,Open Loop,8.92,1.9,981,407.5,11,4.8666,No,0.00581,0.03598,1.897,0.13587,0.97,Increase recycled content in feedstock
Nickel,Primary - Laterite (Smelting),2022,Chile,Superalloys,Renewable Grid,Rail,802.5,1.1265,131.183,71.34,9.89,570.52,0.0218,61.98,11.6,2,14.99,47.04,0.879,Closed Loop Recycling,Low,0.09258,Primary,Processing,0.8278,0.2987,Hybrid,Closed Loop,91.33,13.0,1022,129.9,3,6.7743,No,0.02464,0.0317,0.7258,0.05715,0.9,Increase recycled content in feedstock
Tin,Primary - Alluvial Mining,2023,DRC,Bronze Alloys,Hydro-dominated Grid,Pipeline,176.2,4.1675,238.527,74.27,7.77,350.12,0.0257,62.89,17.8,4,35.24,49.42,0.684,Urban Mining,Medium,0.03567,Primary,End-of-Life,2.8883,1.2792,Conventional,Open Loop,73.95,16.0,1506,371.4,25,7.3606,Yes,0.02144,0.01264,1.3538,0.0659,0.97,Increase recycled content in feedstock
Manganese,Secondary - Steel Scrap Byproduct,2010,Kazakhstan,Steel Alloying,Mixed Grid (EU),Sea Freight,7539.3,1.7119,4.122,47.79,24.48,72.43,0.0019,42.14,22.4,2,1.6,35.77,0.622,Reuse,Low,1.31997,Secondary,Processing,0.992,0.7199,Circular,Closed Loop,-31.68,1.3,442,191.8,41,2.8045,No,0.00152,0.00855,0.2775,0.09505,0.99,Optimise production process efficiency
Platinum,Secondary - Industrial Recycling,2010,India,Fuel Cells,Renewable Grid,Road,172.3,121.053,30244.109,74.1,31.35,4067.68,0.3468,69.38,42.3,4,32384.61,56.02,0.628,Closed Loop Recycling,Very High,0.01513,Secondary,Processing,75.8316,45.2214,Circular,Closed Loop,99.05,12700,583,154.0,5,5.7384,Partial,0.3387,0.03171,0.9614,0.01317,0.75,Reduce material losses in processing
Rare Earths,Primary - Bastnasite (China),2011,DRC,EV Motors,Mixed Grid (Global Avg),Rail,1759.8,35.4071,544.125,1.76,4.5,9812.34,0.1441,18.09,14.6,1,119.5,7.69,0.899,Incineration,High,0.1803,Primary,Processing,25.0398,10.3673,Conventional,Linear,-18.02,30.0,736,433.5,22,7.3153,No,0.12045,0.00368,1.1779,0.09374,0.6,Increase recycled content in feedstock
Gallium,Secondary - Semiconductor Recycling,2012,Canada,Lasers,Coal Grid,Rail,1291.2,77.4662,1248.259,25.88,9.04,538.7,0.1096,20.53,10.5,2,250.6,18.53,0.752,Landfill,High,0.09318,Secondary,Processing,49.3851,28.0811,Hybrid,Linear,85.38,530,818,372.0,16,0.5586,No,0.11032,0.01147,0.3849,0.14672,0.95,Implement end-of-life collection and recycling programme
Gallium,Secondary - Semiconductor Recycling,2011,Chile,5G Semiconductors,Hydro-dominated Grid,Rail,968.6,11.2802,1306.665,21.17,10.56,538.93,0.0637,24.37,7.2,1,270.88,17.58,0.561,Closed Loop Recycling,High,0.0927,Secondary,Extraction,7.762,3.5182,Circular,Closed Loop,97.87,530,703,334.2,24,3.2065,Yes,0.06469,0.01568,0.2842,0.12046,0.84,Reduce material losses in processing
Titanium,Secondary - Industrial Scrap,2014,Indonesia,Chemical Processing,Hydro-dominated Grid,Road,281.3,1.4486,55.251,22.05,8.92,116.8,0.0086,23.03,16.9,4,13.53,19.41,0.971,Remanufacturing,Low,0.08384,Secondary,Processing,1.066,0.3826,Circular,Closed Loop,95.86,35,425,118.7,44,7.4375,No,0.00878,0.01605,0.6627,0.05292,0.85,Maintain current circular practices; explore renewable energy
Gold,Secondary - Electronics Recycling,2012,Brazil,Medical Devices,Renewable Grid,Rail,1342.3,9.4665,1285.94,26.39,16.64,998.54,0.0072,31.83,92.1,5,60879.84,25.86,0.58,Reuse,Medium,0.31779,Secondary,Processing,6.2193,3.2472,Circular,Closed Loop,99.94,16000,251,345.6,34,0.8062,No,0.00701,0.04448,2.2289,0.02958,0.87,Reduce material losses in processing
Titanium,Secondary - Industrial Scrap,2024,Mexico,Chemical Processing,Mixed Grid (Global Avg),Pipeline,215.3,5.9746,76.744,21.52,10.91,160.26,0.0075,24.99,22.5,2,16.45,18.71,0.752,Incineration,Medium,0.01942,Secondary,Extraction,3.4259,2.5487,Hybrid,Linear,82.93,35,578,352.1,37,3.4508,No,0.00973,0.01349,1.9128,0.02966,0.9,Transition to closed-loop recycling pathway
Lead,Secondary - Battery Recycling,2020,Zambia,Ammunition,Mixed Grid (EU),Combined (Road+Sea),5480.9,1.9288,7.9,96.03,74.67,39.61,0.0029,98.98,24.4,4,2.72,81.24,0.893,Remanufacturing,Low,1.53497,Secondary,Processing,1.0637,0.8651,Circular,Closed Loop,-13.46,1.7,363,421.7,31,2.4437,No,0.00244,0.01789,0.5114,0.0528,0.94,Maintain current circular practices; explore renewable energy
Copper,Primary - Oxide Ore (SX-EW),2012,Canada,Plumbing,Natural Gas Grid,Rail,1192.8,2.9775,88.446,63.07,6.71,214.58,0.0039,57.24,45.7,5,8.0,44.34,0.844,Open Loop Recycling,Medium,0.21856,Primary,Extraction,1.6667,1.3108,Conventional,Open Loop,6.95,3.2,960,478.0,29,2.4836,No,0.00459,0.00509,2.4562,0.04836,0.84,Increase recycled content in feedstock
Tin,Secondary - Solder Recycling,2016,Brazil,Bronze Alloys,Nuclear Grid,Combined (Road+Sea),4482.2,1.2859,18.142,65.17,36.17,89.11,0.0036,72.71,16.4,3,25.1,54.11,0.561,Landfill,Low,0.73387,Secondary,Use,0.8734,0.4125,Hybrid,Linear,91.96,16.0,294,279.5,34,7.6389,No,0.00322,0.01772,2.2758,0.10424,0.62,Implement end-of-life collection and recycling programme
Zinc,Primary - Low Grade Ore,2023,Brazil,Chemicals,Mixed Grid (EU),Pipeline,456.9,1.7713,51.568,80.74,1.58,165.97,0.0052,84.94,22.4,4,3.75,57.06,0.736,Remanufacturing,Low,0.04832,Primary,Processing,1.0683,0.703,Hybrid,Closed Loop,42.86,3.1,1559,169.4,44,5.2197,No,0.005,0.02119,0.3006,0.09252,0.6,Increase recycled content in feedstock
Aluminium,Secondary - Recycled Scrap,2021,South Africa,Automotive,Mixed Grid (Global Avg),Sea Freight,7756.4,1.8821,13.331,71.48,34.26,174.4,0.0037,72.38,39.4,4,2.72,56.58,0.843,Remanufacturing,Low,1.50198,Secondary,Extraction,1.2684,0.6137,Circular,Closed Loop,83.63,11.5,363,485.0,10,6.0519,Partial,0.00397,0.0485,0.2535,0.0631,0.85,Maintain current circular practices; explore renewable energy
Germanium,Secondary - Fiber Optics Recycling,2022,Chile,Solar Cells,Hydro-dominated Grid,Sea Freight,3947.2,47.4396,1752.648,33.06,12.67,1358.68,0.3355,31.12,10.0,3,1232.17,25.69,0.64,Open Loop Recycling,High,0.51924,Secondary,Processing,35.0585,12.3811,Hybrid,Open Loop,96.29,1280,706,89.2,19,0.5179,No,0.2894,0.0417,2.2553,0.1459,0.87,Reduce material losses in processing
Germanium,Primary - Coal Fly Ash,2019,Zambia,Semiconductors,Mixed Grid (India),Rail,1005.1,1278.0533,23473.336,39.0,5.98,6207.59,1.4686,39.21,13.0,2,1357.87,28.11,0.737,Closed Loop Recycling,Very High,0.25822,Primary,Use,926.6678,351.3855,Hybrid,Closed Loop,0.15,1280,1051,246.5,25,3.8309,Partial,1.31975,0.0385,0.2425,0.14757,0.78,Increase recycled content in feedstock
Copper,Primary - Low Grade Ore,2024,Indonesia,Electrical Wiring,Mixed Grid (China),Pipeline,331.6,3.1613,49.496,69.5,3.59,322.64,0.0023,60.91,58.9,4,8.4,46.32,0.705,Landfill,Medium,0.09753,Primary,Manufacturing,1.9568,1.2045,Conventional,Linear,1.21,3.2,1306,472.5,28,7.2631,No,0.00283,0.04144,1.2648,0.05533,0.97,Increase recycled content in feedstock
Manganese,Secondary - Steel Scrap Byproduct,2011,Brazil,EV Batteries,Mixed Grid (Global Avg),Combined (Road+Sea),1792.1,0.4417,5.804,45.44,23.02,66.32,0.0005,43.98,16.2,3,2.86,35.95,0.925,Landfill,Low,0.25084,Secondary,End-of-Life,0.2466,0.1951,Hybrid,Linear,66.02,1.3,218,22.0,7,7.4151,No,0.00064,0.00408,1.33,0.01091,0.94,Implement end-of-life collection and recycling programme
Rare Earths,Primary - Bastnasite (China),2018,Russia,Phosphors,Mixed Grid (India),Combined (Road+Sea),2211.3,30.2265,364.775,0.69,8.31,7997.74,0.1126,22.25,17.6,3,23.72,10.83,0.664,Reuse,High,0.59899,Primary,End-of-Life,17.6149,12.6116,Hybrid,Closed Loop,-0.76,30.0,1014,223.8,41,2.3812,No,0.10878,0.00912,1.0608,0.03266,0.97,Increase recycled content in feedstock
Silver,Primary Mining (Copper Byproduct),2016,Central Asia,Jewellery,Renewable Grid,Air Freight,2716.8,12.5599,1505.564,77.88,8.22,2973.83,0.587,77.33,35.6,3,844.11,54.35,0.598,Remanufacturing,High,0.71768,Primary,Extraction,6.9895,5.5704,Hybrid,Closed Loop,88.15,106,1048,284.0,14,4.53,Partial,0.73029,0.04338,1.0847,0.10983,0.58,Increase recycled content in feedstock
Germanium,Secondary - IR Optics Recycling,2013,Chile,Semiconductors,Mixed Grid (Global Avg),Sea Freight,7690.6,110.7404,3179.197,35.82,15.73,1469.76,0.3263,31.38,18.0,2,849.98,26.6,0.964,Reuse,Very High,1.87358,Secondary,End-of-Life,79.9416,30.7988,Circular,Closed Loop,91.35,1280,279,343.5,17,0.2425,Yes,0.37065,0.01223,1.8341,0.11077,0.75,Maintain current circular practices; explore renewable energy
Nickel,Primary - Laterite (Smelting),2022,Europe,EV Batteries,Renewable Grid,Rail,1585.1,1.7338,157.132,72.84,5.95,438.66,0.0215,72.49,14.8,4,16.09,51.43,0.621,Open Loop Recycling,Low,0.45713,Primary,Processing,1.0843,0.6495,Conventional,Open Loop,86.66,13.0,1163,266.7,31,2.2097,No,0.02304,0.03833,1.9514,0.14181,0.85,Increase recycled content in feedstock
Zinc,Primary - Roast-Leach-Electrowin,2016,Peru,Galvanizing,Mixed Grid (China),Air Freight,509.8,3.8816,61.883,84.42,7.12,182.79,0.013,85.04,18.0,3,3.03,58.73,0.783,Incineration,Medium,0.11418,Primary,Manufacturing,2.2106,1.671,Conventional,Linear,-25.21,3.1,908,165.8,1,4.1236,No,0.01188,0.04786,2.2511,0.12012,0.63,Increase recycled content in feedstock
Titanium,Secondary - Industrial Scrap,2010,Europe,Marine,Nuclear Grid,Air Freight,3786.4,2.2509,78.139,22.6,9.85,146.22,0.0041,19.52,19.1,2,14.19,17.24,0.831,Open Loop Recycling,Medium,0.45891,Secondary,Manufacturing,1.6317,0.6192,Hybrid,Open Loop,93.57,35,278,343.1,32,8.1944,Yes,0.00442,0.03804,0.5541,0.03318,0.74,Maintain current circular practices; explore renewable energy
Magnesium,Electrolytic (Brine),2010,Europe,Sports Equipment,Mixed Grid (EU),Air Freight,547.0,8.7556,180.438,43.26,2.54,429.71,0.0541,37.34,16.8,2,2.23,28.35,0.588,Reuse,Medium,0.05858,Primary,Use,5.3961,3.3595,Hybrid,Closed Loop,37.46,14.0,1365,126.3,33,7.2283,No,0.0459,0.03213,1.6108,0.11279,0.66,Increase recycled content in feedstock
Silver,Secondary - Electronics Recycling,2012,Central Asia,Electronics,Mixed Grid (Global Avg),Pipeline,979.0,11.0806,275.151,75.64,45.58,262.7,0.0532,74.79,19.3,3,792.47,60.28,0.676,Open Loop Recycling,High,0.11317,Secondary,Extraction,7.7767,3.3039,Hybrid,Open Loop,89.55,106,784,493.6,29,3.7089,No,0.06469,0.00359,0.7244,0.10137,0.95,Reduce material losses in processing
Lithium,Secondary - Battery Recycling,2014,Indonesia,Medical Devices,Renewable Grid,Air Freight,2970.6,0.4718,47.759,2.57,0.59,338.18,0.0091,22.78,5.4,1,62.66,8.6,0.597,Closed Loop Recycling,Low,0.19438,Secondary,Manufacturing,0.3187,0.1531,Circular,Closed Loop,94.1,8.0,647,489.1,41,1.1121,Partial,0.01174,0.00443,1.3376,0.03164,0.65,Reduce material losses in processing
